"F, MHz",mean,min,max,sem,interval-,interval+
750.0,72.77086472129753,68.908831513083,75.440833008448,0.39448323192567697,71.93857785338676,73.6031515892083
751.25,72.87764056459996,68.7513931585903,75.542099793116,0.4049264909157447,72.0233203461886,73.73196078301132
752.5,72.92104983584015,68.6439273382774,75.5963313604988,0.41461743369415544,72.04628351539101,73.79581615628929
753.75,72.9131346865752,68.3470160223582,75.5551840521492,0.4267554100108242,72.01275947460978,73.81350989854063
755.0,72.84709541892916,68.0973153997983,75.4701181341805,0.4430798724648561,71.91227860177847,73.78191223607985
756.25,72.81237312041283,67.7800107122962,75.3910107733406,0.46050394888631707,71.84079471539879,73.78395152542687
757.5,72.87772453032477,67.5222229315323,75.4646858526863,0.48213405562087885,71.86051058917195,73.89493847147759
758.75,73.0351877396889,67.5099109198133,75.6214068915047,0.5025253924995982,71.97495183833651,74.09542364104128
760.0,73.18456675783676,67.6835425116115,75.7443220831551,0.5124423405893888,72.10340792491998,74.26572559075355
761.25,73.29082910050168,67.7689706732331,75.7834550787606,0.5210207233739313,72.19157146195344,74.39008673904992
762.5,73.31744522666813,67.9664975287032,75.8031254889168,0.5283430922831318,72.20273874012862,74.43215171320763
763.75,73.31565054723833,68.2192459417897,75.7233391119637,0.5282497555167014,72.20114098406263,74.43016011041404
765.0,73.37910160212931,68.0461368109291,75.690591766993,0.5321176393665286,72.25643151735399,74.50177168690463
766.25,73.58529439014745,67.9222601629788,75.9764250494637,0.5386088935809666,72.44892895611083,74.72165982418407
767.5,73.84383033476838,68.027684967667,76.2964570929207,0.5363136694926808,72.71230740026785,74.97535326926892
768.75,74.07051885541196,68.1772076727461,76.6076657416024,0.5388494997723795,72.93364578668458,75.20739192413934
770.0,74.22012060949459,68.3002716375906,76.8542000128426,0.5373791443665811,73.08634971950731,75.35389149948186
771.25,74.25846141963459,68.4233356024349,76.8809924627938,0.5343729089280059,73.13103313200625,75.38588970726292
772.5,74.28055267906115,68.5023016668884,76.9728178717293,0.530230868616292,73.16186333260647,75.39924202551582
773.75,74.34441190655963,68.8252710272415,77.1205095221199,0.5241770215324218,73.23849506098833,75.45032875213093
775.0,74.51034586312979,69.168816864645,77.3482983709969,0.5194873744770692,73.4143233079704,75.60636841828916
776.25,74.73311520618816,69.6240722967752,77.6506874396004,0.514380414861412,73.64786739398126,75.81836301839506
777.5,74.92219992468051,70.1116611029284,77.8766452337899,0.5076738563416773,73.8511017141122,75.99329813524882
778.75,75.00214657825856,70.4199362494132,77.9438544012703,0.5006474659371717,73.94587275562161,76.05842040089551
780.0,74.99430899450478,70.5900354315423,77.9405107428231,0.4964197659378405,73.94695483918483,76.04166314982473
781.25,74.92077617793574,70.8424481512691,77.8901318670906,0.48846155712314593,73.89021237554466,75.95133998032681
782.5,74.87296628888413,71.0911835028318,77.9311912848153,0.4872936656801046,73.84486652205281,75.90106605571545
783.75,74.94066352568697,71.4435489203125,78.0299975897469,0.4834009966401668,73.92077657263546,75.96055047873848
785.0,75.0936951164666,71.9818503119143,78.2162634588875,0.4791884092917423,74.08269594582579,76.10469428710742
786.25,75.20389698176884,72.2658639837895,78.3709245611824,0.4766913294235183,74.19816618913309,76.20962777440458
787.5,75.24497356563114,72.4236989142095,78.4146123053231,0.47592330172247305,74.24086316980326,76.24908396145902
788.75,75.22990903790759,72.4232849432622,78.4612411810555,0.4760664765651426,74.2254965695663,76.23432150624888
790.0,75.13680131424765,72.3489535833989,78.3369372870125,0.47711986478005686,74.13016639104103,76.14343623745427
791.25,75.0566461832255,72.3050711371097,78.2620032049813,0.47684640167045317,74.05058821674747,76.06270414970352
792.5,75.00556222428185,72.163265412012,78.1606141974129,0.47760942378765137,73.99789442185472,76.01323002670897
793.75,74.99208312712742,72.1265545965823,78.1386014105477,0.4800853078771758,73.97919166587931,76.00497458837552
795.0,74.97194823095498,72.0867309881839,78.0577888800301,0.4826606463865107,73.95362328040169,75.99027318150827
796.25,74.91306597116221,71.7707385565432,78.012254669825,0.4855303887603604,73.8886863934442,75.93744554888022
797.5,74.80008473438653,71.3577383734375,77.7756384588875,0.4875933380485122,73.7713527141241,75.82881675464895
798.75,74.6784468898769,70.9800088812497,77.5743005682625,0.4922527149905338,73.6398844435592,75.7170093361946
800.0,74.60433529896166,70.6669537665032,77.4326436163582,0.4902125475964667,73.57007722959334,75.63859336832998
801.25,74.52977378569663,70.3568435980458,77.2989250494637,0.49229359118899124,73.49112509813867,75.5684224732546
802.5,74.5154777075445,70.2348666693347,77.1828456427254,0.4904725355869702,73.48067111146378,75.55028430362523
803.75,74.47149798647513,70.1775717474595,77.0934424139656,0.4870132037955239,73.44398994249688,75.49900603045337
805.0,74.418658842934,70.0320886541975,77.0390924383797,0.48323285090115975,73.39912664638199,75.438191039486
806.25,74.35618313831702,69.8601391913065,76.8936055304207,0.48071863461822845,73.34195547444479,75.37041080218926
807.5,74.28389306534605,69.7587311102515,76.7833854986824,0.4743933156279129,73.28301065801435,75.28477547267775
808.75,74.23317722468849,69.6689349676732,76.6730166937508,0.4687721308839809,73.24415448049541,75.22219996888157
810.0,74.22337316449426,69.6320563055636,76.5303068854012,0.4619614022209546,73.24871980173083,75.1980265272577
811.25,74.22496063804567,69.5834207464814,76.4846124579109,0.45808040071812667,73.2584954727105,75.19142580338084
812.5,74.2083375945615,69.6060666205049,76.3889416815438,0.4503048081130225,73.25827749563146,75.15839769349154
813.75,74.22266488541439,69.6750229193331,76.3520668341316,0.44075073130273035,73.29276212657052,75.15256764425826
