"F, MHz",mean,min,max,sem,interval-,interval+
750.0,73.69289146147781,68.9171017767548,76.4586362005867,0.43254502019382474,72.78030123975871,74.60548168319691
751.25,73.73523812760192,68.7185104681603,76.5133865667977,0.4316315479041883,72.82457516394942,74.64590109125442
752.5,73.72393256017843,68.6962955023399,76.5191104437508,0.43167204008907706,72.81318416548346,74.63468095487339
753.75,73.66832776111971,68.7462774969689,76.4926611639657,0.42965924127788474,72.76182600071165,74.57482952152778
755.0,73.52842747730621,68.7133890081992,76.4399324347176,0.4373956649207526,72.60560328977971,74.45125166483271
756.25,73.3994266312911,68.7113690497031,76.3284077765145,0.4436343847495262,72.46343989548411,74.3354133670981
757.5,73.3886703802739,68.8857330633755,76.3374161078133,0.45427700136727045,72.43022968613788,74.34711107440991
758.75,73.43156360774513,69.2350085760717,76.4441684271492,0.4710407971016651,72.43775439622509,74.42537281926518
760.0,73.47956217172357,69.5762045599592,76.4884512640633,0.4902116579517648,72.44530597934151,74.51381836410563
761.25,73.4670089863666,69.8909418036121,76.4849664618172,0.5087795353239826,72.39357799705733,74.54043997567585
762.5,73.42473655425124,70.0671521307607,76.4024830938973,0.5174235173292498,72.33306835705275,74.51640475144973
763.75,73.36460201411718,69.5949325873038,76.252151520411,0.5275286641585506,72.25161382072194,74.47759020751242
765.0,73.36308517180483,69.0418567206036,76.057722046534,0.5366252191205143,72.23090492504622,74.49526541856343
766.25,73.45059107186977,68.4005850531214,76.0570601202645,0.5652434064677342,72.25803172763665,74.64315041610288
767.5,73.61341287125384,67.9849374701118,76.485856812159,0.5937914346121089,72.3606224525253,74.86620328998238
768.75,73.77514006445027,67.685409271868,76.8705594183602,0.6212754312873022,72.4643634813953,75.08591664750524
770.0,73.85574644872742,67.3880935980378,77.102395661036,0.6447632478889455,72.495414904317,75.21607799313783
771.25,73.8518197773812,67.1936603094618,77.2401576544442,0.6571099361576632,72.46543899772679,75.2382005570356
772.5,73.79314605437197,66.9492544867054,77.3419089056649,0.6741478857963571,72.37081834315552,75.21547376558843
773.75,73.80213849109896,67.0546792913939,77.5267061163582,0.6731133862224745,72.38199338319873,75.22228359899918
775.0,73.89395817798896,67.4364407660065,77.8305676581063,0.666089675730994,72.48863180389786,75.29928455208007
776.25,74.08002483516162,67.9247696234314,78.1498596502938,0.6573801024858237,72.69307405437947,75.46697561594378
777.5,74.22379052628328,68.4086886908163,78.4272586371102,0.6477515727616273,72.85715416750486,75.5904268850617
778.75,74.28678402943011,68.8837881781224,78.5495901800789,0.6326019641848244,72.9521105508251,75.62145750803512
780.0,74.26082387860558,69.3309564520492,78.6013650824227,0.6162400180378091,72.96067108886521,75.56097666834594
781.25,74.16302979935482,69.6304043890614,78.6274174811043,0.6107443682893648,72.87447181706403,75.4515877816456
782.5,74.10897164810977,70.0680206610346,78.6674354864754,0.6060986747215205,72.83021522247826,75.38772807374129
783.75,74.19059782812285,70.6304919745112,78.8265101935067,0.6003375883800975,72.92399623219971,75.45719942404598
785.0,74.35542191971632,70.9152380682614,79.0201269842782,0.6004954180139869,73.08848733237296,75.62235650705968
786.25,74.503516868379,71.1955743719726,79.1578927923836,0.5970487533779545,73.2438541077763,75.76317962898169
787.5,74.60146380678773,71.027859223047,79.2192196966805,0.5988422259491527,73.33801714981591,75.86491046375956
788.75,74.61674116918736,70.6732086493163,79.198236878077,0.5991542224376795,73.35263625716382,75.8808460812109
790.0,74.59267543941027,70.2108386541987,79.0886348272957,0.6030030509106371,73.32045020911808,75.86490066970246
791.25,74.58641459719291,69.8919165350577,78.9901907660164,0.6037002930768709,73.31271831451687,75.86011087986896
792.5,74.62859193314397,69.7052728582996,78.8741075445809,0.6018003645476939,73.35890414927556,75.89827971701237
793.75,74.68594328710716,69.6428433539049,78.7940350653328,0.5961247708023054,73.42822995933622,75.94365661487811
795.0,74.74723246828665,69.7146225287097,78.7389526678719,0.5853525034931291,73.5122466378932,75.98221829868011
796.25,74.74636815113445,69.7866839911121,78.5875911261239,0.5726589102764912,73.53816346144814,75.95457284082076
797.5,74.72007421429905,69.8602102972646,78.4303511358895,0.5602785423100435,73.53798981780766,75.90215861079044
798.75,74.69740763070801,69.9388864447256,78.2789934088387,0.5470770973443234,73.5431758484552,75.85163941296082
800.0,74.7010264305534,70.111633026757,78.1217534186043,0.5311053875092206,73.58049201051531,75.82156085059148
801.25,74.73050569894536,70.3806549383784,78.0086075140633,0.511240200881696,73.6518831591106,75.80912823878013
802.5,74.78932740677689,70.664371063867,77.9513202215828,0.49682868882130443,73.74111049958726,75.83754431396652
803.75,74.82421951866114,70.8741430975585,77.8793349005379,0.4864696678006159,73.79785823539207,75.8505808019302
805.0,74.84194294971853,71.1671441961915,77.7654527594246,0.47041414483257016,73.8494558589177,75.83443004051936
806.25,74.84739746665917,71.3739712835939,77.6354077459969,0.45702988223503915,73.88314870158443,75.81164623173392
807.5,74.85232470766668,71.6640121771487,77.4693329168953,0.444956670523269,73.9135481927359,75.79110122259746
808.75,74.87387639935777,71.918172028223,77.3442660833992,0.43466237394762236,73.95681895170513,75.79093384701041
810.0,74.91897748883531,71.8614035345704,77.2544775702156,0.4296310230368128,74.01253526371184,75.82541971395878
811.25,74.96862061119047,71.7378015448243,77.1617517401375,0.4214311280030417,74.07947865234584,75.8577625700351
812.5,75.00512358495888,71.6840237738281,77.1665486456551,0.4171216078665981,74.1250739188311,75.88517325108666
813.75,75.0503088097039,71.6816833807617,77.1737716986336,0.41017409665536325,74.18491711095677,75.91570050845104
